,Title,Price,RRP,Rating,Reviews,Purchases Past Month,Charges,Delivery Time,ASIN,Product Link
0,"ACEMAGIC 15.6
                                        inch FHD Laptop Computer - Quad-Core N150 Processor Up to 3.6GHzÃ¯Â¼Ë†Beat N-100Ã¯Â¼â€°
                                        Laptop, 16GB DDR4 512GB SSD Notebook, Support WiFi 5, BT5.0, 3*USB3.2, 5000mAh
                                        Battery, Metal Case",£299.,£459.99,4.3,24,,£12.25," Tue, 6 May",B0DR2FWCDL,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4MzQ0ODI3MzI1NDYwODA0OjE3NDU1OTczMTA6c3BfYXRmOjMwMDUzOTI4MzI3MDMzMjo6MDo6&url=%2FACEMAGIC-15-6-inch-Laptop-Computer%2Fdp%2FB0DR2FWCDL%2Fref%3Dsr_1_1_sspa%3Fcrid%3DYGWNDRXXCGUT%26dib%3DeyJ2IjoiMSJ9.YlMdX28zxOyi9DIyKTp5KeZDLLpbQqzO6Skc4L56VeijnkRoTCkISvatiaMZWO8fyKbalInIWdfuRt47GifpDKpFR-uQD8Ybo3HJDE5hzKmv48dn_Ti9YdJqhSRbuloM-UBcd6i68B_z5-MKdOPS7ZFJbM2bptZDXMb0I3D_6qF62oSRVFdzyLvg_2yg00QRmgajfcGdT46aHuiwkCWKvPmI0DMeaVM6m_Q-XlcWwHM.XG2KXnJM-BTTBu0zvAJcQU4PW9FWU-hpfXzJ5r-VHrU%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1745597310%26sprefix%3Dlap%252Caps%252C838%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"15.6"" Full HD Laptop - 8GB RAM 512GB SSD, Windows 11 Home OS, J4125 Quad-Core CPU, AC WIFI, RJ45, Integrated Webcam - S15 N2 15 Inch Lightweight Laptop",£279.,£349.99,4.7,215,300,£11.61," Tue, 6 May",B0DT9XFCRB,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4MzQ0ODI3MzI1NDYwODA0OjE3NDU1OTczMTA6c3BfYXRmOjMwMDQ3NzgxOTI4NjEzMjo6MDo6&url=%2F15-6-Full-Laptop-Integrated-Lightweight%2Fdp%2FB0DT9XFCRB%2Fref%3Dsr_1_2_sspa%3Fcrid%3DYGWNDRXXCGUT%26dib%3DeyJ2IjoiMSJ9.YlMdX28zxOyi9DIyKTp5KeZDLLpbQqzO6Skc4L56VeijnkRoTCkISvatiaMZWO8fyKbalInIWdfuRt47GifpDKpFR-uQD8Ybo3HJDE5hzKmv48dn_Ti9YdJqhSRbuloM-UBcd6i68B_z5-MKdOPS7ZFJbM2bptZDXMb0I3D_6qF62oSRVFdzyLvg_2yg00QRmgajfcGdT46aHuiwkCWKvPmI0DMeaVM6m_Q-XlcWwHM.XG2KXnJM-BTTBu0zvAJcQU4PW9FWU-hpfXzJ5r-VHrU%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1745597310%26sprefix%3Dlap%252Caps%252C838%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Acer Aspire Go 15 AG15-31P Laptop - Intel Core i3-N305, 8GB, 256GB SSD, Integrated Graphics, 15.6"" Full HD, Windows 11, Silver",£298.,£354.00,4.4,86,100,,,,https://www.amazon.co.uk/Acer-Aspire-AG15-31P-Laptop-Integrated/dp/B0BGHF8NSJ/ref=sr_1_6?crid=YGWNDRXXCGUT&dib=eyJ2IjoiMSJ9.YlMdX28zxOyi9DIyKTp5KeZDLLpbQqzO6Skc4L56VeijnkRoTCkISvatiaMZWO8fyKbalInIWdfuRt47GifpDKpFR-uQD8Ybo3HJDE5hzKmv48dn_Ti9YdJqhSRbuloM-UBcd6i68B_z5-MKdOPS7ZFJbM2bptZDXMb0I3D_6qF62oSRVFdzyLvg_2yg00QRmgajfcGdT46aHuiwkCWKvPmI0DMeaVM6m_Q-XlcWwHM.XG2KXnJM-BTTBu0zvAJcQU4PW9FWU-hpfXzJ5r-VHrU&dib_tag=se&keywords=Laptop&qid=1745597310&sprefix=lap%2Caps%2C838&sr=8-6
3,"ACEMAGIC Laptop Computer 15.6 inch - Quad-Core N-97 Processor Notebook Laptops Up to 3.6GHz (Beat N5095),16GB DDR4 512GB SSD Student Laptop with Metal Body Support WiFi, BT5.0",£289.,£439.99,4.5,56,50,,,,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo4OTQxNjg2MTM2NjUxNDI2OjE3NDU1OTczMzA6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA1MDY0NDY4NTE1MzI6OjQ6Og&url=%2FACEMAGIC-Laptop-Computer-15-6-inch%2Fdp%2FB0D5Y7B19P%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.b3761e2a-9a9b-42e3-b078-5a7d6958b6b3%253Aamzn1.sym.b3761e2a-9a9b-42e3-b078-5a7d6958b6b3%26crid%3DYGWNDRXXCGUT%26cv_ct_cx%3DLaptop%26keywords%3DLaptop%26pd_rd_i%3DB0D5Y7B19P%26pd_rd_r%3D8e8bbe12-bbf9-4454-9f3f-3c0a7465b2f1%26pd_rd_w%3DK2rLN%26pd_rd_wg%3D6hFS8%26pf_rd_p%3Db3761e2a-9a9b-42e3-b078-5a7d6958b6b3%26pf_rd_r%3DQAPKZ0EMRQJP0S6Z75ZX%26qid%3D1745597330%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C838%26sr%3D1-37-086e3a46-5037-429b-b873-9a24580fbad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1
4,"ACEMAGIC 15.6 inch FHD Laptop Computer - Quad-Core N150 Processor Up to 3.6GHzÃ¯Â¼Ë†Beat N-100Ã¯Â¼â€° Laptop, 16GB DDR4 512GB SSD Notebook, Support WiFi 5, BT5.0, 3*USB3.2, 5000mAh Battery, Metal Case",£299.,£459.99,4.3,24,50,£12.25," Tue, 6 May",B0DR2FWCDL,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo2ODMwNDI3NDExMzA0NDU6MTc0NTU5NzMzODpzcF9hdGZfbmV4dDozMDA1MzkyODMyNzAzMzI6OjA6Og&url=%2FACEMAGIC-15-6-inch-Laptop-Computer%2Fdp%2FB0DR2FWCDL%2Fref%3Dsr_1_49_sspa%3Fcrid%3DYGWNDRXXCGUT%26dib%3DeyJ2IjoiMSJ9.p-clR9J1qJ21yVVG373mQgHdQ9TfY3NRYQp1hg7E_3zY2ft_uOYjP1oWdQSls2uPm1UMUBXv6kP4IRYA8cFiz_rEts3WGE5csVgOJBGsrEqmUPh3HEDTSlnXe5p3gq56giQegK06O1V8MB9bHIVjuRU8bBG2bcmmF8UVaGDiRatJ6K0W-jUvVqqkU8R81V2AdGQ8ESS4K_75zEomU00F-etSoSHVJ3O994LMzD3FKgI.FJL9aI307lQnubcIDOSL1F9Z9FoeybtiuOJdFjkAgmw%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1745597338%26sprefix%3Dlap%252Caps%252C838%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
5,"jumper Laptop, 16 inch Full HD Display, 1920x1200 Pixel IPS screen, 4GB RAM 128GB Storage, 5305U Processor, 38Wh Battery, USB3.0, Office 365 1-Year Subscription, Keyboard Film UK",£249.,£499.99,4.4,82,100,,,,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo2ODMwNDI3NDExMzA0NDU6MTc0NTU5NzMzODpzcF9hdGZfbmV4dDozMDA0ODMyOTE4Mzc0MzI6OjA6Og&url=%2Fjumper-1920x1200-Processor-Subscription-Keyboard%2Fdp%2FB0DTH3GVBD%2Fref%3Dsr_1_50_sspa%3Fcrid%3DYGWNDRXXCGUT%26dib%3DeyJ2IjoiMSJ9.p-clR9J1qJ21yVVG373mQgHdQ9TfY3NRYQp1hg7E_3zY2ft_uOYjP1oWdQSls2uPm1UMUBXv6kP4IRYA8cFiz_rEts3WGE5csVgOJBGsrEqmUPh3HEDTSlnXe5p3gq56giQegK06O1V8MB9bHIVjuRU8bBG2bcmmF8UVaGDiRatJ6K0W-jUvVqqkU8R81V2AdGQ8ESS4K_75zEomU00F-etSoSHVJ3O994LMzD3FKgI.FJL9aI307lQnubcIDOSL1F9Z9FoeybtiuOJdFjkAgmw%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1745597338%26sprefix%3Dlap%252Caps%252C838%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
6,"ACEMAGIC 17.3 inch FHD Laptop, Quad-Core N-97 Processor up to 3.6GHzÃ¯Â¼Ë†Beat N100 N95Ã¯Â¼â€° Laptop computer, 16GB DDR4 512GB SSD Notebook with Metal Case Support WiFi, BT5.0, 3*USB3.2",£359.,£479.99,4.5,22,100,£13.08," Tue, 6 May",B0DT45LWB2,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo2ODMwNDI3NDExMzA0NDU6MTc0NTU5NzMzODpzcF9hdGZfbmV4dDozMDA0NjI5NjQzMzQ0MzI6OjA6Og&url=%2FACEMAGIC-Quad-Core-Processor-3-6GHz%25EF%25BC%2588Beat-computer%2Fdp%2FB0DT45LWB2%2Fref%3Dsr_1_51_sspa%3Fcrid%3DYGWNDRXXCGUT%26dib%3DeyJ2IjoiMSJ9.p-clR9J1qJ21yVVG373mQgHdQ9TfY3NRYQp1hg7E_3zY2ft_uOYjP1oWdQSls2uPm1UMUBXv6kP4IRYA8cFiz_rEts3WGE5csVgOJBGsrEqmUPh3HEDTSlnXe5p3gq56giQegK06O1V8MB9bHIVjuRU8bBG2bcmmF8UVaGDiRatJ6K0W-jUvVqqkU8R81V2AdGQ8ESS4K_75zEomU00F-etSoSHVJ3O994LMzD3FKgI.FJL9aI307lQnubcIDOSL1F9Z9FoeybtiuOJdFjkAgmw%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1745597338%26sprefix%3Dlap%252Caps%252C838%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
7,"Acer Nitro V 15 ANV15-51 Gaming Laptop - Intel Core i5-13420H, 8GB, 512GB SSD, NVIDIA GeForce RTX 2050 4G, 15.6"" Full HD IPS 144Hz, Windows 11, Black",£599.,£749.99,4.5,5,100,£13.93," Tue, 6 May",B0D2374GYB,https://www.amazon.co.uk/Acer-Nitro-ANV15-51-Gaming-Laptop/dp/B0D2374GYB/ref=sr_1_52?crid=YGWNDRXXCGUT&dib=eyJ2IjoiMSJ9.p-clR9J1qJ21yVVG373mQgHdQ9TfY3NRYQp1hg7E_3zY2ft_uOYjP1oWdQSls2uPm1UMUBXv6kP4IRYA8cFiz_rEts3WGE5csVgOJBGsrEqmUPh3HEDTSlnXe5p3gq56giQegK06O1V8MB9bHIVjuRU8bBG2bcmmF8UVaGDiRatJ6K0W-jUvVqqkU8R81V2AdGQ8ESS4K_75zEomU00F-etSoSHVJ3O994LMzD3FKgI.FJL9aI307lQnubcIDOSL1F9Z9FoeybtiuOJdFjkAgmw&dib_tag=se&keywords=Laptop&qid=1745597338&sprefix=lap%2Caps%2C838&sr=8-52
8,"Laptop 15.6 inch, Laptop 16GB RAM DDR4 512GB SSD, Celeron N95 Processor with 1920 * 1080P FHD Screen 180°Flip, Windows 11 PC Notebook Mini-HDMI, USB 3.0, Backlit keyboard, Fingerprint Unlocking",£249.,£269.99,4.5,30,,£12.41," Tue, 6 May",B0DLB25TDK,https://www.amazon.co.uk/N95-Processor-Mini-HDMI-Fingerprint-Unlocking/dp/B0DLB25TDK/ref=sr_1_53?crid=YGWNDRXXCGUT&dib=eyJ2IjoiMSJ9.p-clR9J1qJ21yVVG373mQgHdQ9TfY3NRYQp1hg7E_3zY2ft_uOYjP1oWdQSls2uPm1UMUBXv6kP4IRYA8cFiz_rEts3WGE5csVgOJBGsrEqmUPh3HEDTSlnXe5p3gq56giQegK06O1V8MB9bHIVjuRU8bBG2bcmmF8UVaGDiRatJ6K0W-jUvVqqkU8R81V2AdGQ8ESS4K_75zEomU00F-etSoSHVJ3O994LMzD3FKgI.FJL9aI307lQnubcIDOSL1F9Z9FoeybtiuOJdFjkAgmw&dib_tag=se&keywords=Laptop&qid=1745597338&sprefix=lap%2Caps%2C838&sr=8-53
9,Lenovo IdeaPad Slim 3 | 15 inch Full HD Laptop | Intel Core i5-12450H | 8GB RAM | 512GB SSD | Windows 11 Home | Abyss Blue,£415.,,4.6,114,,£12.10," Tue, 6 May",B0CZXS3RHS,https://www.amazon.co.uk/Lenovo-IdeaPad-Laptop-i5-12450H-Windows/dp/B0CZXS3RHS/ref=sr_1_54?crid=YGWNDRXXCGUT&dib=eyJ2IjoiMSJ9.p-clR9J1qJ21yVVG373mQgHdQ9TfY3NRYQp1hg7E_3zY2ft_uOYjP1oWdQSls2uPm1UMUBXv6kP4IRYA8cFiz_rEts3WGE5csVgOJBGsrEqmUPh3HEDTSlnXe5p3gq56giQegK06O1V8MB9bHIVjuRU8bBG2bcmmF8UVaGDiRatJ6K0W-jUvVqqkU8R81V2AdGQ8ESS4K_75zEomU00F-etSoSHVJ3O994LMzD3FKgI.FJL9aI307lQnubcIDOSL1F9Z9FoeybtiuOJdFjkAgmw&dib_tag=se&keywords=Laptop&qid=1745597338&sprefix=lap%2Caps%2C838&sr=8-54
